student_id,attention_score,confusion_score,boredom_score,cognitive_overload_score,lstm_prediction,gru_prediction,cnn_prediction,ensemble_prediction,risk_category
233,91.76544,8.23456,0.0,18.18181818181818,0.1565275,0.09050932,5.216034e-11,0.082345605,Low Risk
236,86.18713,13.812871,0.0,58.82352941176471,0.21356334,0.16933692,0.031485926,0.13812871,Low Risk
237,98.48476,1.5152457,0.0,12.999999999999998,0.013853456,0.0094729895,0.022130923,0.015152457,Low Risk
239,75.3429,24.657103,18.0,65.0,0.33545026,0.4038039,0.00045887267,0.24657102,Low Risk
240,65.42119,34.578808,13.333333333333334,53.333333333333336,0.17070177,0.41111273,0.4555497,0.3457881,Moderate Risk
241,60.769608,39.230392,10.0,45.0,0.2559126,0.4622744,0.4587248,0.39230394,Moderate Risk
246,91.98403,8.0159645,10.0,34.0,0.1451067,0.09537224,0.0,0.08015964,Low Risk
247,95.80867,4.1913314,8.695652173913043,26.08695652173913,0.05374322,0.063353084,0.008643626,0.041913312,Low Risk
248,50.72534,49.27466,22.0,62.0,0.5563724,0.7412228,0.18064451,0.4927466,Moderate Risk
249,96.731064,3.2689362,7.4074074074074066,59.25925925925925,0.0719655,0.025086984,0.0010156048,0.032689363,Low Risk
251,22.270035,77.729965,23.333333333333332,75.0,0.84645206,0.9382257,0.5472211,0.77729964,High Risk
253,78.72455,21.27545,14.000000000000002,58.00000000000001,0.23562129,0.40184566,0.00079653226,0.2127545,Low Risk
254,90.61569,9.38431,14.000000000000002,43.0,0.1564917,0.12503761,0.0,0.0938431,Low Risk
256,61.677658,38.322346,35.714285714285715,98.80952380952381,0.40523583,0.70828736,0.036147144,0.38322344,Moderate Risk
257,85.23707,14.762932,0.0,35.29411764705882,0.28639063,0.14655954,0.009937803,0.14762932,Low Risk
259,20.145613,79.854385,33.33333333333333,61.66666666666667,0.9591772,0.9754786,0.46097586,0.7985439,High Risk
260,86.28868,13.711323,18.181818181818183,31.818181818181817,0.2199715,0.10840135,0.08296688,0.13711323,Low Risk
261,64.23856,35.761436,30.0,62.5,0.5448527,0.46127895,0.06671139,0.35761437,Moderate Risk
263,79.04406,20.955936,0.0,80.0,0.25953728,0.2652845,0.103856355,0.20955937,Low Risk
264,23.634655,76.36535,23.333333333333332,76.66666666666666,0.82337445,0.91872066,0.54886526,0.76365346,High Risk
265,53.99594,46.004055,45.45454545454545,95.45454545454545,0.6123793,0.71089375,0.056848537,0.46004054,Moderate Risk
266,91.34277,8.657222,11.11111111111111,35.18518518518518,0.14529812,0.10263425,0.011784282,0.08657222,Low Risk
268,78.4044,21.595596,14.285714285714285,57.14285714285714,0.2166257,0.41764283,0.01359939,0.21595597,Low Risk
270,95.17687,4.8231263,12.0,38.0,0.052329365,0.034593176,0.05777125,0.048231263,Low Risk
272,19.603157,80.39684,46.666666666666664,100.0,0.9753456,0.97111976,0.46543992,0.8039684,High Risk
273,88.51574,11.48426,8.0,27.999999999999996,0.21194488,0.13234252,0.00024039384,0.11484259,Low Risk
275,95.430244,4.5697556,4.0,20.0,0.06663439,0.07034197,0.000116305426,0.045697555,Low Risk
276,87.99356,12.006435,12.0,48.0,0.23120974,0.12898333,1.2781275e-29,0.120064355,Low Risk
277,97.1449,2.8551066,0.0,35.29411764705882,0.04879701,0.027385397,0.009470788,0.028551066,Low Risk
279,86.76242,13.237577,28.000000000000004,64.99999999999999,0.22254388,0.17405425,0.00052921084,0.13237578,Low Risk
281,47.94832,52.05168,40.0,93.0,0.80061066,0.76093966,0.0,0.5205168,Moderate Risk
284,99.07993,0.9200624,0.0,3.3333333333333326,0.013394273,0.011408595,0.0027990043,0.009200624,Low Risk
285,94.233955,5.766046,4.0,43.00000000000001,0.09253429,0.079297505,0.0011496021,0.05766046,Low Risk
286,94.49987,5.5001307,20.0,54.0,0.08300172,0.076586336,0.00541587,0.055001307,Low Risk
291,79.44553,20.554464,30.76923076923077,76.92307692307692,0.2590948,0.35753912,0.0,0.20554464,Low Risk
292,94.32992,5.670085,0.0,41.0,0.08942736,0.080483586,0.00019162032,0.05670085,Low Risk
293,44.16402,55.83598,6.0,61.00000000000001,0.14623182,0.59280264,0.936045,0.5583598,Moderate Risk
294,90.3058,9.694195,0.0,30.000000000000004,0.04776702,0.02671415,0.21634467,0.09694195,Low Risk
296,69.24162,30.758385,0.0,50.0,0.43265802,0.40928224,0.08081118,0.30758384,Moderate Risk
297,62.17041,37.829594,24.0,88.0,0.52582556,0.60906225,1.1429033e-11,0.37829593,Moderate Risk
299,87.42181,12.578196,0.0,59.09090909090908,0.16612577,0.077725865,0.13349421,0.12578195,Low Risk
302,19.219654,80.78034,40.0,90.0,0.9830423,0.9788205,0.46154773,0.80780345,High Risk
303,91.65588,8.344121,0.0,26.190476190476193,0.139966,0.10126614,0.009091491,0.083441205,Low Risk
304,79.819595,20.180405,27.27272727272727,59.09090909090909,0.28915322,0.21208161,0.104177296,0.20180404,Low Risk
305,76.94815,23.051847,0.0,55.769230769230774,0.23083569,0.44923615,0.011483602,0.23051848,Low Risk
